LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
2074820100721100746,,London Metropolitan University,100 Minories,EC3N 1JY,650744420000,82,,,D,371,133,0,University Campus; General Office; Restaurant; Fitness And Health Centre; Schools And Seasonal Public Buildings; Long Term Residential,2010-07-21,E09000001,E14000639,Greater London Authority,2010-07-21,University Campus,Natural Gas,,,,6132,112,237,110,97,0,0,,,,,,,Yes,252,1,1,Mixed-mode with Natural Ventilation,S4; C1; H1; H7; S3; S7;,"London Metropolitan University, 100 Minories",City of London,Cities of London and Westminster,e2bc6ae83467ffc3373ee24ae39cb9bb12649cfc2e07ee359b037455953d6867
2101720111021121026,,London Metropolitan University,84 Moorgate,EC2M 6SQ,802984490000,79,76,171,D,588,227,0,University Campus,2011-07-29,E09000001,E14000639,Greater London Authority,2011-10-21,University Campus,Natural Gas,,,,10342,113,251,103,92,0,0,571,606,212,227,0,0,Yes,254,,1,Mixed-mode with Natural Ventilation,S4;,"London Metropolitan University, 84 Moorgate",City of London,Cities of London and Westminster,2bfcad4c309bd2e7192505a570d07d2f0b4738c989b9960dd5a3a38c9dcabf2f
2181120130403030424,,Museum of London,150 London Wall,EC2Y 5HN,660453630000,163,133,200,G,1917,501,0,Cultural Activities; General Office,2012-12-05,E09000001,E14000639,Greater London Authority,2013-04-03,Cultural Activities,District Heating,,,,17966,154,182,194,86,0,0,1678,0,514,0,0,0,Yes,,3,2,Mixed-mode with Mechanical Ventilation,H4; C1;,"Museum of London, 150 London Wall",City of London,Cities of London and Westminster,0a8f35121f232aca29f1a43ae16d43ffb40a2ee0299aae9a05864dbfcd8c61b8
2181120150429110425,,Museum of London,150 London Wall,EC2Y 5HN,660453630000,161,162,164,G,1917,461,0,Cultural Activities; General Office,2015-04-27,E09000001,E14000639,Greater London Authority,2015-04-29,Cultural Activities,District Heating,,,,18124,141,175,192,86,0,0,1899,1971,483,510,0,0,Yes,,3,5,Mixed-mode with Mechanical Ventilation,H4; C1;,"Museum of London, 150 London Wall",City of London,Cities of London and Westminster,4491b2e4fb1a0968d9ab83ddb2b198a3e5798aa500ca1e6ad3d4794df98a2b15
2211320111223011238,,Guildhall School of Music & Drama,"Barbican, Silk Street",EC2Y 8DT,743783190000,49,68,63,B,776,72,0,University Campus,2011-12-23,E09000001,E14000639,Greater London Authority,2011-12-23,University Campus,District Heating,,,,19306,20,233,73,80,0,0,961,937,205,160,0,0,Yes,,3,4,Heating and Natural Ventilation,S4,"Guildhall School of Music & Drama, Barbican, Silk Street",City of London,Cities of London and Westminster,3c9f74624ba62dfd75a925800a2a66b09a09bf9b2d40a2406b3cf1f4a95614ad
2211320121108031108,,Guildhall School of Music & Drama,"Barbican, Silk Street",EC2Y 8DT,743783190000,52,49,68,C,798,72,0,University Campus,2012-11-07,E09000001,E14000639,Greater London Authority,2012-11-08,University Campus,District Heating,,,,19306,20,221,75,80,0,0,776,937,72,160,0,0,Yes,,3,2,Heating and Natural Ventilation,S4,"Guildhall School of Music & Drama, Barbican, Silk Street",City of London,Cities of London and Westminster,941825864f8ebd8a57c78d265103e1a68c7a339fed5c9c757cb093c6b0df1829
2211320160519120521,,Guildhall School of Music & Drama,"Barbican, Silk Street",EC2Y 8DT,743783190000,58,51,58,C,785,165,0,University Campus,2015-02-18,E09000001,E14000639,Greater London Authority,2016-05-19,University Campus,District Heating,,,,19306,33,210,74,80,0,0,760,926,81,100,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,S4;,"Guildhall School of Music & Drama, Barbican, Silk Street",City of London,Cities of London and Westminster,ea396994f157512a3f65171c2304187eb020fe73b58652e3fccd91fad29af1c0
2542320160519120523,,Mayors & City of London Court,Guildhall Buildings,EC2V 5AR,765905850000,67,73,65,C,30,42,0,General Office,2015-01-30,E09000001,E14000639,Greater London Authority,2016-05-19,General Office,Natural Gas,,,,1471.36,147,106,37,95,0,0,38,31,39,46,0,0,No,,,4,Heating and Natural Ventilation,C1;,"Mayors & City of London Court, Guildhall Buildings",City of London,Cities of London and Westminster,971dc2d3714017d440a02906fc4861f44c28cb218b3d539a804e7e20e946857e
2632020101123061109,,Robin Brook Centre,Queen Mary University of London,EC1A 7BE,330381040000,9999,200,9999,G,0,0,,University Campus,2010-11-05,E09000001,E14000639,Greater London Authority,2010-11-23,University Campus,Natural Gas,,,,3403,0,0,0,0,0,0,0,0,0,0,0,0,No,,,4,Mixed-mode with Mechanical Ventilation,S4;,"Robin Brook Centre, Queen Mary University of London",City of London,Cities of London and Westminster,5d823f04fcfb1d48487980352a72d00a63c64f98186d389cba7879652af87f2d
2632020111207121220,,Robin Brook Centre,Queen Mary University of London,EC1A 7BE,330381040000,116,9999,200,E,285,66,0,University Campus,2011-11-30,E09000001,E14000639,Greater London Authority,2011-12-07,University Campus,Natural Gas,,,,3403,100,233,152,80,0,0,0,0,0,0,0,0,Yes,,3,5,Mixed-mode with Mechanical Ventilation,S4;,"Robin Brook Centre, Queen Mary University of London",City of London,Cities of London and Westminster,ada8a43da171eaa1136471a572f0e85da7cf7f3edf3c4cd195d201e332caa645
